,Location,London_borough,Post town,Postcode district,Latitude,Longitude
1,Abbey Wood,"Bexley, Greenwich [7]",LONDON,SE2,51.51324000000005,-0.2674599999999714
2,Acton,"Ealing, Hammersmith and Fulham[8]",LONDON,"W3, W4",51.38475500000004,-0.051498623999975734
3,Addington,Croydon[8],CROYDON,CR0,51.38475500000004,-0.051498623999975734
4,Addiscombe,Croydon[8],CROYDON,CR0,51.452067760578885,0.1722299153689439
5,Albany Park,Bexley,"BEXLEY, SIDCUP","DA5, DA14",51.50642000000005,-0.1272099999999341
6,Aldborough Hatch,Redbridge[9],ILFORD,IG2,51.51200000000006,-0.08057999999994081
7,Aldgate,City[10],LONDON,EC3,51.51651000000004,-0.11967999999995982
8,Aldwych,Westminster[10],LONDON,WC2,51.50642000000005,-0.1272099999999341
9,Alperton,Brent[11],WEMBLEY,HA0,51.41009000000008,-0.05682999999993399
10,Anerley,Bromley[11],LONDON,SE20,51.523610000000076,-0.09876999999994496
11,Angel,Islington[8],LONDON,"EC1, N1",51.27172802817503,0.07471050704375404
12,Aperfield,Bromley[11],WESTERHAM,TN16,51.56393000000003,-0.12944999999996298
13,Archway,Islington[12],LONDON,N19,51.58370000000008,0.17476000000004888
14,Ardleigh Green,Havering[12],HORNCHURCH,RM11,51.615680000000054,-0.2451099999999542
15,Arkley,Barnet[12],"BARNET, LONDON","EN5, NW7",51.63429000000008,-0.13365999999996347
16,Arnos Grove,Enfield[12],LONDON,"N11, N14",51.44822000000005,-0.1483899999999494
17,Balham,Wandsworth[13],LONDON,SW12,51.499600000000044,-0.09612999999995964
18,Bankside,Southwark[14],LONDON,SE1,51.523610000000076,-0.09876999999994496
19,Barbican,City[14],LONDON,EC1,51.53312000000005,0.08407653200004006
20,Barking,Barking and Dagenham[14],BARKING,IG11,51.50642000000005,-0.1272099999999341
21,Barkingside,Redbridge[15],ILFORD,IG6,51.47052000000008,0.14670637700004363
22,Barnehurst,Bexley[15],BEXLEYHEATH,DA7,51.47457000000003,-0.24211999999994305
23,Barnes,Richmond upon Thames[15],LONDON,SW13,51.452067760578885,0.1722299153689439
24,Barnes Cray,Bexley[16],DARTFORD,DA1,51.615680000000054,-0.2451099999999542
25,Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",51.64441500000004,-0.17918542799992565
26,"Barnet (also Chipping Barnet, High Barnet)",Barnet[16],BARNET,EN5,51.53792000000004,-0.09982999999994036
27,Barnsbury,Islington[17],LONDON,N1,51.46760000000006,-0.16289999999997917
28,Battersea,Wandsworth[18],LONDON,SW11,51.51494000000008,-0.1804799999999318
29,Bayswater,Westminster[19],LONDON,W2,51.41009000000008,-0.05682999999993399
30,Beckenham,Bromley[20],"BECKENHAM, LONDON","BR3, SE20",51.50913000000003,0.015280000000075233
31,Beckton,Newham[20],"LONDON, BARKING","E6, E16, IG11",51.50642000000005,-0.1272099999999341
32,Becontree,Barking and Dagenham[20],DAGENHAM,RM9,51.50642000000005,-0.1272099999999341
33,Becontree Heath,Barking and Dagenham[21],DAGENHAM,RM8,51.38475500000004,-0.051498623999975734
