Venue Name,Category,Rating,Venue ID
 Big Ben (Elizabeth Tower),Monument / Landmark,9.3,4ac518cef964a520f6a520e3
 The London Eye,Scenic Lookout,9.2,4ac518cef964a52021a620e3
 Trafalgar Square,Plaza,9.2,4ac518cef964a520f9a520e3
 Tower of London,Castle,9.2,4ac518cef964a520f7a520e3
 Westminster Abbey,Church,9.2,4ac518cdf964a520eea520e3
 British Museum,History Museum,9.4,4ac518d2f964a5203da720e3
 St Paul's Cathedral,Church,9.2,4ac518cef964a520f5a520e3
 Tower Bridge,Bridge,9.5,4ac518cef964a520f8a520e3
 Buckingham Palace,Palace,8.7,4abe4502f964a520558c20e3
 Piccadilly Circus,Plaza,9,4c9c6a059c48236a1cb14dee
 Covent Garden Market,Shopping Plaza,9.3,4ba6419bf964a520b23f39e3
 Madame Tussauds,Museum,8.7,4ac518cef964a520fca520e3
 Apple Covent Garden,Electronics Store,9,4c48305e96abd13aa25e7301
 Natural History Museum,Science Museum,9.2,4ac518cdf964a520e8a520e3
 Science Museum,Science Museum,NaN,4ac518cdf964a520e8a520e3
 Royal Albert Hall,Concert Hall,9.5,4ac518e8f964a52075ab20e3
 Hyde Park,Park,9.6,4ac518d2f964a52026a720e3
 London King's Cross Railway Station (KGX),Train Station,8,4af33684f964a520c7eb21e3
 Dominion Theatre,Theater,NaN,4af33684f964a520c7eb21e3
 Portobello Road,Road,8.7,4b6ecaa7f964a520bbca2ce3
 Portobello Road Market,Market,8.9,4acaf933f964a52031c320e3
 Abbey Road Studios,Recording Studio,8.8,4ac518d0f964a520aaa620e3
 London Bridge,Bridge,NaN,4ac518d0f964a520aaa620e3
 Founder's Arms,Pub,8.3,4ac518bef964a52010a320e3
 The Travel Bookshop,Bookstore,NaN,4ac518bef964a52010a320e3
 The Anchor,Pub,7.5,4ac518bef964a520faa220e3
 The London Beatles Store,Gift Shop,7.3,4b96a1a9f964a52019da34e3
 Greenwich Park,Park,9.6,4bc9d8eb937ca593e96aa692
 Royal Observatory,Observatory,8.5,4ac518cef964a5203aa620e3
 Hampton Court Palace,Palace,9.3,4bfd867ee9309521751462ab
 Regent's Park,Park,9.6,4b233922f964a520785424e3
 Oxford Street,Road,NaN,4b233922f964a520785424e3
 Leicester Square,Plaza,8.7,4ac518d1f964a520c3a620e3
 Stonehenge,Historic Site,8.7,4baca654f964a520c7003be3
 Victoria and Albert Museum (V&A),Art Museum,9.4,4ae2d9f8f964a5208d8f21e3
 St James's Park,Park,9.5,4ac518cdf964a520f2a520e3
 Green Park,Park,9.3,4b96b2bbf964a520c2de34e3
 Alice's,Antique Shop,8.2,4e295742149554c774424775
 The Ritz London,Hotel,9,4bb44578643cd13ab492395c
 Harrods,Department Store,9,4abf8c03f964a520079120e3
 Alice's Shop,Gift Shop,NaN,4abf8c03f964a520079120e3
 Camden Town,Neighborhood,NaN,4abf8c03f964a520079120e3
 Waterloo London Underground Station,Metro Station,NaN,4abf8c03f964a520079120e3
 Waterloo Bridge,Bridge,NaN,4abf8c03f964a520079120e3
 The Drunken Monkey,Bar,NaN,4abf8c03f964a520079120e3
 Punch & Judy,Pub,6.8,4bb22b27f964a5209cbf3ce3
 The Harp,Pub,8.8,4acf3b84f964a520d0d220e3
 Marble Arch,Monument / Landmark,8.8,4bd195aa9854d13a9abff94d
 Soho Square,Park,8.7,4ac518cff964a5206ba620e3
 Speakers' Corner,Plaza,7.1,4ac518cef964a52001a620e3
 Horse Guards Parade,Plaza,9,4ac518cdf964a520f0a520e3
 Houses of Parliament,Capitol Building,NaN,4ac518cdf964a520f0a520e3
 London St Pancras International Railway Station (STP),Train Station,8.9,4ac518f7f964a520c6af20e3
 Peter Pan Statue,Outdoor Sculpture,8.2,4ac518d1f964a52000a720e3
 Porterhouse,Irish Pub,8.3,4ac518c3f964a5203ca420e3
 Westminster Cathedral,Church,NaN,4ac518c3f964a5203ca420e3
Botanical Garden,Botanical Garden,9.5,4ac518cef964a52002a620e3
 Ministry of Sound,Nightclub,8.2,4ac518b9f964a520bba120e3
 Millennium Bridge,Bridge,NaN,4ac518b9f964a520bba120e3
 Hard Rock Cafe London,American Restaurant,8.6,4ac518b9f964a520b0a120e3
 Jamie's Italian,Italian Restaurant,NaN,4ac518b9f964a520b0a120e3
 Shakespeare's Globe Theatre,Theater,NaN,4ac518b9f964a520b0a120e3
