,location.lat,location.lng,location.postalCode,name,rating,likes.count
37,51.51272636058895,-0.20185902442022527,W11 2QD,Alice's,8.2,9
19,51.512841064253024,-0.1278958930930689,WC2H 9ND,Ambassadors Theatre,8.1,73
12,51.5122106,-0.12356569999999999,WC2E 8HB,Apple Covent Garden,9.0,2180
32,51.51979955737104,-0.093968703496289,EC2Y 8DS,Barbican Art Gallery,9.2,273
36,51.519855,-0.093942,EC2Y 8DS,Barbican Centre,9.3,1763
5,51.519008743372744,-0.12643718771869314,WC1B 3DG,British Museum,9.4,8498
8,51.50095573961221,-0.14312267303466794,SW1A 1AA,Buckingham Palace,8.7,6627
20,51.54147500282177,-0.14608424276895518,NW1 8AF,Camden Lock Market,9.1,3789
34,51.502078999999995,-0.129305,SW1A 2AQ,Churchill War Rooms (Churchill Museum & Cabinet War Rooms),9.1,503
10,51.511976628094004,-0.1227987174934242,WC2E 8RF,Covent Garden Market,9.3,3409
0,51.50062,-0.124578,SW1A 0AA,Elizabeth Tower (Big Ben) (Big Ben (Elizabeth Tower)),9.3,6439
30,51.555246594502776,-0.10836124420166016,N5 1BU,Emirates Stadium,8.8,2200
37,51.515108362188464,-0.12713175126493229,WC2H 8JR,Forbidden Planet,9.1,971
36,51.50465559886703,-0.14378786087036133,SW1A 1BW,Green Park,9.3,2606
27,51.47752077622347,0.000858306884765625,SE10 9NF,Greenwich Park,9.6,1358
14,51.50659890641054,-0.08150696754455565,SE1 2JH,HMS Belfast (HMS Belfast (C35)),8.4,262
29,51.40323503419162,-0.3374004364013672,KT8 9AU,Hampton Court Palace,9.3,775
33,51.51564737011618,-0.09099734746424007,EC2V 5BQ,Hawksmoor Guildhall,8.7,294
16,51.50778087767913,-0.16239166259765625,W2 2TP,Hyde Park,9.6,11445
24,51.49598474204294,-0.10864157985065033,SE1 6HZ,Imperial War Museum,9.0,879
32,51.5105186594565,-0.1300978660583496,WC2H 7NA,Leicester Square,8.7,2335
12,51.53137120255099,-0.12602190640029132,NW1 2QP,London St Pancras International Railway Station (STP) (London St Pancras International Railway Station),8.9,2917
44,51.5120008940347,-0.12130816793336828,WC2E 7BB,London Transport Museum,8.8,552
33,51.51059878717682,-0.1311492919921875,WC2H 7DG,M&M's World,8.4,2771
11,51.5230174,-0.15436129999999998,NW1 5LR,Madame Tussauds,8.7,2463
45,-22.88713016599622,-47.05976338120841,,Maravilhas do Lar,8.2,224
7,51.51344616054594,-0.15827028686389946,,Marble Arch,8.8,1591
41,51.51229990375752,-0.1507375782729058,W1K 6JP,Maze Grill,7.8,258
41,51.354694230876866,-0.4679866679759857,KT13 0SL,Mercedes-Benz World,8.6,164
22,51.514314,-0.126824,WC2H 9EU,Monmouth Coffee Company,9.2,1476
31,51.50506856589684,-0.1505569830427778,W1K 1LB,Nobu,8.9,520
32,51.508411707584635,-0.10866374481985792,SE1 9PH,OXO Tower,8.0,124
13,51.50864699744103,-0.1758301458709387,W11 1PN,Peter Pan Statue,8.2,74
9,51.5099611001671,-0.1346522569656372,W1D 1NN,Piccadilly Circus,9.0,6895
38,51.53200574046968,-0.12421602400513287,N1 9AL,Platform 9¾,8.0,1223
19,51.512828952176505,-0.20220637321472168,W11,Portobello Road,8.7,182
20,51.5143312472924,-0.2040731906890869,W11,Portobello Road Market,8.9,3394
5,51.51177511791997,-0.12301038917624656,WC2E 8RF,Punch & Judy,6.8,209
6,51.51341645218146,-0.13164760951343052,W1D 4HT,Ronnie Scott's Jazz Club,9.3,590
21,51.50910852221246,-0.13947604747954753,W1J 0BD,Royal Academy of Arts,9.2,1349
15,51.50112169476232,-0.17741730766218888,SW7 2AP,Royal Albert Hall,9.5,2536
16,51.477747968798816,-0.296630859375,TW9 3AB,"Royal Botanic Gardens (Royal Botanic Gardens, Kew)",9.5,1368
28,51.477321981791754,-0.0008690357208251952,SE10 8XJ,Royal Observatory,8.5,719
49,51.51308279256784,-0.12196837266870422,WC2E 9DD,Royal Opera House,9.3,1045
44,51.490689394817274,-0.15891551971435547,SW3 4RY,Saatchi Gallery,9.3,1380
30,51.5021808,-0.11961580000000001,SE1 7PB,Sea Life London Aquarium,7.2,494
25,51.492499698989036,-0.15743494033813474,SW1W 8EG,Sloane Square,8.9,836
8,51.5152860135492,-0.13220876455307007,W1D 3QA,Soho Square,8.7,739
9,51.51157122297482,-0.15942076891325402,W2 2UH,Speakers' Corner,7.1,99
35,51.50325316049429,-0.1329946517944336,SW1A 2BJ,St James's Park,9.5,3090
6,51.51387722554811,-0.09842634201049803,EC4M 8AD,St Paul's Cathedral,9.2,2018
29,51.480925191241596,-0.19154180035076732,SW6 1HS,Stamford Bridge,8.6,1870
33,51.17906049718898,-1.8261981010437012,SP4 7DE,Stonehenge,8.7,1695
1,51.490772,-0.12696505,SW1P 4RG,Tate Britain,9.2,1688
23,51.50770408386703,-0.0994563102722168,SE1 9TG,Tate Modern,9.2,8008
25,51.5074464937147,-0.09297781777740076,SE1 9EF,The Anchor,7.5,567
35,51.506911689234755,-0.19480103497028267,W8 7LN,The Churchill Arms,8.9,718
3,51.52126542661687,-0.10980116958197236,EC1N 7TR,The Craft Beer Co.,8.6,430
6,51.509719375060406,-0.12594291840264304,WC2N 4HS,The Harp,8.8,687
25,51.511718200000004,-0.1256953,WC2E 9EB,The Lamb & Flag,8.5,454
26,51.52366368383208,-0.15822439529263466,NW1 6XE,The London Beatles Store,7.3,97
1,51.5032865523857,-0.11959433555603027,SE1 7PB,The London Eye,9.2,6506
31,51.51013380945136,-0.08604753792195599,EC3R 8AH,The Monument,8.4,561
2,51.5283432275456,-0.11855826833828817,WC1X 9NB,The Queen's Head,8.5,216
38,51.50707816583323,-0.141627349121336,W1J 9BR,The Ritz London,9.0,454
8,51.51094053172207,-0.12705202859480202,WC2N 4AP,The Salisbury,7.3,178
36,51.52370153992872,-0.15822746400886428,NW1 6XE,The Sherlock Holmes Museum,8.2,880
26,51.505597540432674,-0.12214210219215353,SW1A 2HR,The Tattershall Castle,7.6,251
7,51.50555046555675,-0.07533788681030272,SE1 2UP,Tower Bridge,9.5,5471
3,51.508248315482646,-0.07626056671142578,EC3N 4AB,Tower of London,9.2,4842
2,51.507987,-0.128048,WC2N 5DX,Trafalgar Square,9.2,4483
34,51.4963692331882,-0.17238816047990768,SW7 2RL,Victoria and Albert Museum (V&A),9.4,4957
45,51.68953917686018,-0.4193152561453445,WD25 7LR,Warner Bros. Studio Tour London - The Making of Harry Potter,9.6,2837
26,51.556208632738326,-0.2795720100402832,HA9 0WS,Wembley Stadium,8.9,2507
46,51.507393568437536,-0.2213573455810547,W12 7SH,Westfield London,8.8,4575
4,51.499356158719166,-0.1273566484451294,SW1P 3PA,Westminster Abbey,9.2,1514
0,51.48402872716299,-0.6044411659240723,SL4 1NJ,Windsor Castle,9.3,1200
7,51.535713694935176,-0.1557239974346836,NW1 4RY,ZSL London Zoo,8.4,1025
